extension,count
,18407
0,4006
1,3390941
2,2236864
3,303615
1,331
3,186
4,102
1m,484
aep,201
arc,130755
ari,875536
atmos,1
au,488
audio,2
avi,819
bz2,53111
cdx,159065
cmd,280
content,41519
crd,105
css,534
csv,7045
dat,178
db,464
dia,228
doc,298
docx,151
done,4000304
dpx,4694434
epub,106
failed,795
gif,4347
gz,6070058
html,147041
ini,4
j2c,53002
jar,3802
jdb,5221
job,2245
jp2,5678656
jpg,1843225
json,4799
l,334
lck,2101
lest,2586
log,47233
low,243
m4a,16153
m4v,4
md,1
md5,17869250
md5~,1
metadata,2
mid,345
mkv,2
mov,3728
mp3,811563
mp4,1746275
mpeg,888
mpg,17942
mxf,15598
open,966
pac,135
pdf,326936
pl,114
pml,494
png,3438
psd,277
r,287
r3d,350
ra,414
ram,414
rdy,510178
ris,89509
rm,31501
ros,89506
sha1,1120
so,371
sql,1
srt,35
status,199794
swp,1
tar,43076604
tar_old,22598
tga,82757
thb,243
tif,1321525
tiff,13963
tkn,7255
ttf,149
txt,750136
txt~,953
url,341
vtt,2
war,114
wav,917216
wma,4493
wmf,216
wrk,14493
xml,7630403
xml_old,722068
xml_org,22641
xml_org2,197
xmp,289153
yaml,3
z01,110
zip,629
